,Mass (GeV),Background,Data,mass_zprime_eta0p01_1000_data,mass_zprime_eta0p01_1200_data,mass_zprime_eta0p01_1400_data,mass_zprime_eta0p01_1600_data,mass_zprime_eta0p01_1800_data,mass_zprime_eta0p01_2000_data,mass_zprime_eta0p01_2200_data,mass_zprime_eta0p01_2400_data,mass_zprime_eta0p01_2600_data,mass_zprime_eta0p01_2800_data,mass_zprime_eta0p01_3000_data,mass_zprime_eta0p01_3200_data,mass_zprime_eta0p01_3400_data,mass_zprime_eta0p01_3600_data,mass_zprime_eta0p01_3800_data,mass_zprime_eta0p01_4000_data,mass_zprime_eta0p01_800_data,mass_zprime_eta0p03_1000_data,mass_zprime_eta0p03_1200_data,mass_zprime_eta0p03_1400_data,mass_zprime_eta0p03_1600_data,mass_zprime_eta0p03_1800_data,mass_zprime_eta0p03_2000_data,mass_zprime_eta0p03_2200_data,mass_zprime_eta0p03_2400_data,mass_zprime_eta0p03_2600_data,mass_zprime_eta0p03_2800_data,mass_zprime_eta0p03_3000_data,mass_zprime_eta0p03_3200_data,mass_zprime_eta0p03_3400_data,mass_zprime_eta0p03_3600_data,mass_zprime_eta0p03_3800_data,mass_zprime_eta0p03_4000_data,mass_zprime_eta0p03_800_data
0,194.8514,29997.362,29997.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028806088319832765,0.3085565250767656,0.0,0.0,0.018036831107814046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,202.4237,26862.889,26862.889,0.0,0.007819679144385026,0.003880283052351375,0.001997842131228416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028806088319832765,0.0,0.0,0.03454528077212334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,210.0232,24323.1022,24323.1022,0.0,0.0,0.0,0.001997842131228416,0.0,0.0006274623929532665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028806088319832765,0.1542782625383828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003588168566493955,0.0,0.0,4.7588403975779734e-05,0.0
3,218.4626,21781.631,21781.631,0.0,0.0,0.0,0.001997842131228416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542782625383828,0.0,0.0,0.0,0.009972979488446805,0.0,0.0,0.0,0.0,0.0,0.0,0.00028036500802568215,0.0,0.0,0.0,4.7588403975779734e-05,0.0
4,227.2412,19941.5347,19941.5347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021633983263598326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028806088319832765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38084683981576245
5,236.0721,17467.5293,17467.5293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.039723228995057e-05,0.0,0.0,0.0,0.0,0.0,0.05761217663966553,0.1542782625383828,0.0,0.0,0.018036831107814046,0.009972979488446805,0.0,0.0,0.0,0.0,0.0,0.0,0.00028036500802568215,0.0,0.00011461042670337233,0.0,4.7588403975779734e-05,0.0
6,245.2465,15991.8195,15991.8195,0.0,0.0,0.003880283052351375,0.0,0.0,0.0,0.0,0.00021633983263598326,0.0,8.013571462043111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0864182649594983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011461042670337233,0.0,4.7588403975779734e-05,1.1425405194472873
7,254.7771,14163.4535,14163.4535,0.017232424437299033,0.0,0.003880283052351375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99184688441047e-05,0.0,0.0,0.0,0.028806088319832765,0.1542782625383828,0.07069396752333461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009175616279069765,0.0,0.0,0.0,0.0001469257752424415,0.0,0.0
8,264.3422,12966.8289,12966.8289,0.017232424437299033,0.0,0.0,0.0,0.0,0.0,0.0,0.00021633983263598326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542782625383828,0.0,0.03454528077212334,0.0,0.009972979488446805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003588168566493955,0.00022922085340674466,0.0,0.0,0.7616936796315249
9,274.9642,11484.3611,11484.3611,0.0,0.007819679144385026,0.00776056610470275,0.001997842131228416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05761217663966553,0.1542782625383828,0.0,0.0,0.0,0.0,0.005652326605504587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000343831280110117,0.0,0.0,0.7616936796315249
10,285.2869,10059.5363,10059.5363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021633983263598326,0.0002575388111888112,0.0,0.0,0.0,1.995923442205235e-05,0.0,0.0,5.251547984425103e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.517680795155947e-05,0.38084683981576245
11,296.7507,9108.519,9108.519,0.017232424437299033,0.0,0.003880283052351375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.995923442205235e-05,0.0,0.0,5.251547984425103e-06,0.11522435327933106,0.1542782625383828,0.07069396752333461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011461042670337233,7.346288762122076e-05,0.0,0.0
12,308.2828,7978.4894,7978.4894,0.017232424437299033,0.007819679144385026,0.0,0.001997842131228416,0.001119174809541651,0.0,0.0003695086173081638,0.0,0.0,0.0,0.0,0.0,0.0,1.2641645671094825e-05,0.0,0.0,0.028806088319832765,0.1542782625383828,0.07069396752333461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028036500802568215,0.0,0.0,0.0,0.0,0.38084683981576245
13,320.2634,7304.4425,7304.4425,0.017232424437299033,0.015639358288770052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.013571462043111e-05,0.0,0.0,0.0,0.0,1.6007072692437733e-05,0.0,0.05761217663966553,0.3085565250767656,0.07069396752333461,0.0,0.0,0.0,0.0,0.0,0.003912771647877188,0.0,0.0,0.0,0.0,0.00017940842832469775,0.00011461042670337233,0.0,9.517680795155947e-05,1.1425405194472873
14,333.1325,6469.3423,6469.3423,0.017232424437299033,0.023459037433155076,0.0,0.0,0.001119174809541651,0.0,0.0,0.0,0.0002575388111888112,0.0,0.0,3.1250126991456936e-05,0.0,0.0,0.0,0.0,0.0,0.1542782625383828,0.0,0.0,0.0,0.009972979488446805,0.0,0.0032857434377646056,0.001956385823938594,0.0,0.0,0.00045878081395348826,0.0,0.0,0.0,7.346288762122076e-05,0.0,0.7616936796315249
